""
"","WINTER 2017Fresh & Packaged FoodNutritional InformationPortionProduct DescriptionSize (g)",,,,,,,,,,,,,,,,,,,,,,,,
"",,,Vegetarian,Vegan,"WheatFree","GlutenFree",Milk Free,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit
"","Super Scrambled Eggs, Tomato & Spinach",211,Y,N,Y,N,N,416,878,100,211,6.6,14,1.5,3.2,3,7,1.1,2,0.7,1.5,6.7,14,0.68,1.40
"","Spicy Chorizo, Poached Egg & Potato",207,N,N,Y,N,N,628,1301,151,312,9.1,19,3.2,6.7,8,17,0.3,0.6,2.3,4.6,7.3,17,0.66,1.40
"",Salads and Picnic Pots,,,,,,,,,,,,,,,,,,,,,,,,
"","Falafel, quinoa and lentil salad",353,Y,Y,Y,Y,Y,549,1784,131,426,5.6,18,0.6,2.0,15,48,4.2,13,3.0,9.9,3.9,13,0.20,0.65
"","WINTER 2017Fresh & Packaged FoodNutritional InformationPortionProduct DescriptionSize (g)",,,,,,,,,,,,,,,,,,,,,,,,
"",,Vegetarian,Vegan,"WheatFree","GlutenFree",Milk Free,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,
"",Impulse,,,,,,,,,,,,,,,,,,,,,,,,
"",Starbucks Raw Raspberry & Nut Bar,55,Y,Y,Y,Y,Y,1415,778,337,185,7.4,4.1,1.1,0.6,59.6,32.8,43.9,24.1,6.0,3.3,6.0,3.3,0.05,0.03
"",Starbucks Peanut and Cashew Bar,45,Y,Y,Y,Y,Y,1943,875,466,209,27.6,12.4,6.5,2.9,36.1,16.2,22.9,10.3,8.2,3.7,15.7,7.1,0.33,0.15
"",Starbucks Sugar-Free Peppermints,1,Y,Y,Y,Y,Y,1008,15,242,4,0.6,0.0,0.5,0.0,99.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
"",Starbucks Sugar-Free Spearmints,,Y,Y,Y,Y,Y,107,,256,,0.8,,0.8,,97.0,,0.0,,0.0,,0.1,,0.00,
"",Starbucks Sugar-Free Gum,16,Y,Y,Y,Y,Y,771,12,185,3,0.0,0.0,0.0,0.0,75.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
"",Starbucks Sweeties,6,Y,Y,N,N,Y,1415,85,333,20,0.2,0.0,0.1,0.0,82.0,4.9,70.0,4.2,1.5,0.0,0.1,0.0,0.49,0.01
"",Starbucks Dark Chocolate Bar,40,Y,N,Y,Y,Y,2461,984,594,238,46.3,18.5,29.2,11.7,32.2,12.9,27.0,10.8,10.7,4.3,6.7,2.7,0.00,0.00
"",Starbucks Milk Chocolate Bar,30,Y,N,Y,Y,N,2365,709,567,170,36.5,10.9,23.0,6.9,52.7,15.8,51.8,15.5,1.9,0.6,6.2,1.9,0.30,0.08
