"Name","Category","Vegetarian","Vegan","Wheat","Rye","Barley","Oat","Gluten","Soya","Egg","Milk","Fish","Crustacean","Mollusc","Sulphite","Sesame","Celery","Mustard","Peanut","Lupin","Tree Nuts"
"Pain Au Chocolat (61340)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","n","n","n","c"
"Chocolate Twist (60079)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","n","n","n","n","n","c"
"Almond Croissant (60080)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","n","n","n","c"
"Butter Croissant (60081)","Pastries","c","n","c","n","n","n","c","c","c","c","n","n","n","n","c","n","n","n","n","c"
"Pain Aux Raisins (60542)","Pastries","c","n","c","c","c","c","n","c","c","c","n","n","n","n","n","n","n","n","n","c"
"Almond Croissant (60982)","Pastries","c","n","c","n","n","n","c","n","c","c","n","n","n","n","c","n","n","n","n","c"
"Apples","Whole Fruit","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Bananas","Whole Fruit","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Salt Sachets","Food Extras","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Black Pepper Sachets","Food Extras","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Nutella Portion","Food Extras","c","n","n","n","n","n","n","c","n","c","n","n","n","n","n","n","n","n","n","c"
"Salted Butter Portion","Food Extras","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"HP Brown Sauce Sachet","Food Extras","c","n","n","c","c","n","c","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Tomato Ketchup Sachet","Food Extras","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","c","n","n","n","n"
"Apples","Food Extras","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Bananas","Food Extras","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Marmite Portion","Food Extras","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","c","n","n","n","n"
"Tiptree Strawberry Jam Portion","Food Extras","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Tiptree Marmalade Portion","Food Extras","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Tiptree Honey Portion","Food Extras","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Lyles Maple Syrup Sachets","Food Extras","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Cortado- Made With Skimmed Milk","Coffees Cortado","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cortado- Made With Whole Milk- Solo Drink In","Coffees Cortado","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cortado- Made With Whole Milk- Solo Takeaway","Coffees Cortado","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cortado- Made With Soya Milk- Solo Drink In","Coffees Cortado","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Cortado- Made With Soya Milk- Solo Takeaway","Coffees Cortado","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Mocha Cortado - Made With Skimmed Milk - Drink In","Coffees Cortado","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Mocha Cortado - Made With Skimmed Milk – Takeaway","Coffees Cortado","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Mocha Cortado - Made With Whole Milk - Drink In","Coffees Cortado","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Mocha Cortado - Made With Whole Milk – Takeaway","Coffees Cortado","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Mocha Cortado - Made With Soya Milk - Drink In","Coffees Cortado","c","n","n","n","n","n","n","c","n","c","n","n","n","n","n","n","n","n","n","c"
"Mocha Cortado - Made With Soya Milk - Takeaway","Coffees Cortado","c","n","n","n","n","n","n","c","n","c","n","n","n","n","n","n","n","n","n","c"
"Mocha Italia Espresso- Solo Both","Mocha Italia Espresso","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Mocha Italia Espresso- Doppio Both","Mocha Italia Espresso","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Old Paradise Street Espresso- Solo Both","Old Paradise Street Espresso","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Old Paradise Street Espresso- Doppio Both","Old Paradise Street Espresso","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Decaffeinated Espresso- Solo Both","Decaffeinated Espresso","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Decaffeinated Espresso- Doppio Both","Decaffeinated Espresso","c","c","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"Macchiato- Made With Skimmed Milk- Solo Both","Macchiato","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
