"itemID","name","description","category","price","restaurantID","vegetarian","vegan","milk","eggs","peanuts","treeNuts","soy","wheatGluten","fish","shellFish"
134,"Flat White- Made With Skimmed Milk- Primo Takeaway",,"Flat White",-1,"costa","c","n","c","n","n","n","n","n","n","n"
135,"Flat White- Made With Whole Milk- Primo Drink In",,"Flat White",-1,"costa","c","n","c","n","n","n","n","n","n","n"
136,"Flat White- Made With Whole Milk-",,"Flat White",-1,"costa","c","n","c","n","n","n","n","n","n","n"
137,"Primo Takeaway Flat White- Made With Soya Milk- Primo Drink In",,"Flat White",-1,"costa","c","c","n","n","n","c","c","n","n","n"
138,"Flat White- Made With Soya Milk- Primo Takeaway",,"Flat White",-1,"costa","c","c","n","n","n","c","c","n","n","n"
139,"Cappuccino - Made With Skimmed Milk- Primo Drink In",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
140,"Cappuccino - Made With Skimmed Milk - Primo Takeaway",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
141,"Cappuccino - Made With Skimmed Milk - Medio Drink In",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
142,"Cappuccino - Made With Skimmed Milk - Medio Takeaway",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
143,"Cappuccino - Made With Skimmed Milk - Massimo Drink In",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
144,"Cappuccino - Made With Skimmed Milk - Massimo Takeaway",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
145,"Cappuccino - Made With Whole Milk – Primo Drink In",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
146,"Cappuccino - Made With Whole Milk - Primo Takeaway",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
147,"Cappuccino - Made With Whole Milk - Medio Drink In",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
